,Close,log_return,sigma_E,shares_outstanding,market_cap,r,D
2023-10-31,35.89957427978516,0.0224417558963467,0.361663515426658,4216000000.0,151352605163.57422,0.0544,25584000000.0
2023-11-30,44.1092529296875,-0.0053546711495354,0.3661875647843287,4216000000.0,185964610351.5625,0.0516,25584000000.0
2023-12-31,49.58590316772461,-0.0027821853258696,0.3663907506043988,4216000000.0,209054167755.12692,0.0479,25584000000.0
2024-01-31,42.51066589355469,0.0037211388339661,0.416965083691269,4228000000.0,179735095397.94922,0.0473,25777000000.0
2024-02-29,42.60557556152344,0.0249306410558577,0.3886787312715702,4228000000.0,180136373474.1211,0.0501,25777000000.0
2024-03-31,43.714012145996094,0.0090970770725173,0.4096365118820583,4228000000.0,184822843353.27148,0.0503,25777000000.0
2024-04-30,30.155445098876957,-0.0287905877812556,0.4139166537036759,4256869888.0,128367806200.64648,0.0525,28516000000.0
2024-05-31,30.65553474426269,0.021626015927333,0.4224225427796672,4256869888.0,130496622753.38963,0.0518,28516000000.0
2024-06-30,30.774776458740234,0.0123458000215398,0.3617426228396722,4256869888.0,131004219217.14258,0.0509,28516000000.0
2024-07-31,30.546226501464844,0.0200434052777508,0.3051937579930716,4256869888.0,130031311786.11328,0.0473,28862000000.0
2024-08-31,22.040000915527344,0.0906478278630473,0.765471570740544,4276000000.0,94243043914.79492,0.0438,28862000000.0
2024-09-30,23.459999084472656,-0.0189999708881802,0.8163806896974088,4277789952.0,100356948357.48631,0.0398,27001000000.0
2024-10-31,21.520000457763672,-0.0356038876884113,0.5164661869888497,4276000000.0,92019521957.39746,0.0426999999999999,27001000000.0
2024-11-30,24.049999237060547,0.0167718660205718,0.4675914823110814,4312999936.0,103727645170.2422,0.043,27001000000.0
2024-12-31,20.049999237060547,0.011537602196258,0.4404550792209497,4312999936.0,86475645426.24219,0.0416,26870000000.0
2025-01-31,19.43000030517578,-0.0294138809382439,0.4832247512537027,4312999936.0,83801590072.70312,0.0417,26870000000.0
2025-02-28,23.729999542236328,0.0273404211823663,0.5832087525121986,4393480192.0,104257282944.98438,0.0408,26870000000.0
2025-03-31,22.709999084472656,0.0,0.6586296227426645,4360589824.0,99028990910.80078,0.0403,27696000000.0
2025-04-30,20.100000381469727,-0.0118695640786535,0.8164994530517679,4361999872.0,87676199091.1709,0.0385,27696000000.0
2025-05-31,19.549999237060547,-0.0351795461462101,0.7088082684674081,4400540160.0,86030556770.6543,0.0411,27696000000.0
2025-06-30,22.399999618530277,-0.0128633804977906,0.6449028716239238,4498449920.0,100765276491.97754,0.0395999999999999,28744000000.0
2025-07-31,19.799999237060547,-0.0269074989540835,0.4506874082613845,4376999936.0,86664595393.41406,0.0409999999999999,28744000000.0
2025-08-31,24.350000381469727,-0.0235400445820667,0.5228782447481728,4376979968.0,106579463890.48537,0.0383,28744000000.0
2025-09-30,33.54999923706055,-0.0273425918419642,0.6621114535345494,4670261514.0,156687270231.57324,0.0368,24525000000.0
2025-10-31,39.9900016784668,-0.0042420067530854,0.6422871305209084,4766000000.0,190592347999.57275,0.037,24525000000.0
2025-11-30,40.560001373291016,0.0970128084427051,0.6470659311897783,4770000000.0,193471206550.5981,0.0361,24525000000.0
2025-12-31,36.900001525878906,-0.0107817137974163,0.4947205829062935,4770000000.0,176013007278.44238,0.0348,24542000000.0
2026-01-31,46.470001220703125,-0.0460503648540651,0.7541096936350574,4995178516.0,232125951736.15,0.0348,24542000000.0
2026-02-28,45.61000061035156,0.0032942058203649,0.7529110318088911,4995178516.0,227830095163.575,0.0348,24542000000.0
2026-03-31,44.130001068115234,0.0689443723777002,0.7778410175315715,5021010228.0,221577186724.65756,0.0368,23518000000.0
2026-04-30,94.4800033569336,-0.002853636542803,0.7599685149598135,5026000000.0,474856496871.9482,0.0372,23518000000.0
2026-05-31,114.68000030517578,-0.0527353924888065,0.8491628660386131,5026000000.0,576381681533.8135,0.0379,23518000000.0
